material_id,material_name,predicted_cost,predicted_co2,actual_cost,actual_co2,cost_rank,co2_rank,combined_score,overall_rank
52,Cassava Starch Film,82.92512952380957,1.6244906,83.45,1.62,42.5,52.0,47.25,46.0
31,Mycelium Packaging Material,93.3793691387697,1.4364346,93.45,1.42,52.5,42.5,47.5,47.0
40,Seaweed-Calcium Composite,100.14143626023359,1.3989041,99.45,1.38,62.5,36.5,49.5,48.0
51,Mushroom Mycelium Foam,93.5493769309775,1.4953538,94.23,1.48,54.0,46.0,50.0,49.0
59,Seaweed Polysaccharide,100.80235656326387,1.4364346,100.34,1.42,64.0,42.5,53.25,50.0
37,Casein-based Protein Coating,98.32022233910565,1.7139323,98.23,1.72,59.0,55.0,57.0,51.0
69,Kelp-based Film,103.19450315464722,1.5549724,101.45,1.55,66.0,49.5,57.75,52.0
89,Red Algae Agar,103.66544678915,1.5274976,104.34,1.52,70.0,47.5,58.75,53.0
44,Wood Pulp Composite,89.54993776070334,1.9504908,88.45,1.98,45.0,73.0,59.0,54.0
27,Lignin Composite Board,93.7524769309775,1.8611754,95.34,1.88,55.0,64.0,59.5,55.0
76,Hemp Hurd Filler,93.01853659908717,1.9235152,92.45,1.95,49.0,71.0,60.0,56.0
79,Brown Algae Extract,103.66544678915,1.585179,103.67,1.58,70.0,51.0,60.5,57.5
30,Plant-based Resin Coating,103.62034298981207,1.6531372,102.34,1.65,68.0,53.0,60.5,57.5
43,Cellulose Nanofiber,93.01853659908717,2.019381,91.23,2.05,49.0,74.5,61.75,59.0
86,Spent Coffee Ground Filler,91.19514096416651,2.0719352,89.45,2.12,46.0,79.0,62.5,60.0
39,Chitosan Film Natural,105.6082606190456,1.6785876,105.67,1.68,72.0,54.0,63.0,61.0
72,Flax Seed Resin,93.3793691387697,2.0428562,93.67,2.08,52.5,76.5,64.5,62.0
48,Cork Fiber Blend,103.32521475451794,1.8611754,102.45,1.88,67.0,64.0,65.5,63.0
28,Calcium Carbonate Filler,88.72164758976318,2.2541277,87.67,2.35,44.0,87.5,65.75,64.0
38,Chitin from Shellfish,107.20707582233904,1.8337685,108.34,1.85,76.0,61.0,68.5,65.0
58,Crustacean Shell Chitin,106.71432092037823,1.8611754,106.78,1.88,73.5,64.0,68.75,66.5
77,Pea Protein Film,109.49584844138666,1.7659068,110.56,1.82,79.0,58.5,68.75,66.5
17,Cork Composite Sheet,103.66544678915,1.8977796,104.23,1.92,70.0,68.0,69.0,68.0
92,Chitosan Coating Spray,115.28996119827887,1.7659068,113.78,1.78,81.0,58.5,69.75,69.0
67,Soy Protein Coating,115.43035405542172,1.7659068,114.67,1.78,82.0,58.5,70.25,70.0
68,Shrimp Shell Derivative,106.71432092037823,1.8977796,107.23,1.92,73.5,68.0,70.75,71.0
15,Recycled Plastic Blend PET,93.18440802765859,2.311706,92.67,2.42,51.0,92.5,71.75,72.0
87,Whey Protein Coating,116.00795945224712,1.8611754,115.23,1.88,83.0,64.0,73.5,73.0
88,Crab Shell Waste,107.69068184029167,1.9235152,108.56,1.95,77.0,71.0,74.0,74.0
74,Recycled PET Clear,94.39738961268176,2.311706,95.78,2.48,56.0,92.5,74.25,75.0
54,Recycled Textile Fiber,96.87218321933655,2.311706,97.34,2.52,57.5,92.5,75.0,76.0
41,Gelatin-based Wrapper,116.42196232891294,1.8977796,112.34,1.92,84.0,68.0,76.0,77.0
91,Recycled LDPE Film,98.57590733910567,2.311706,98.45,2.62,60.5,92.5,76.5,78.0
42,Protein Film Edible,120.46045334983648,1.7659068,117.56,1.78,95.0,58.5,76.75,79.0
6,HDPE Recycled Plastic,96.87218321933655,2.560415,96.82,2.75,57.5,98.5,78.0,80.0
25,Recycled Polyester Fabric,98.57590733910567,2.5355246,98.45,2.68,60.5,97.0,78.75,81.0
64,Recycled Nylon Fiber,100.14143626023359,2.5291502,99.56,2.65,62.5,95.5,79.0,82.0
35,Bio-PE from Sugarcane,118.29403352872622,1.9235152,119.45,1.95,89.0,71.0,80.0,83.0
84,Recycled ABS Plastic,102.04715097246667,2.5291502,101.23,2.58,65.0,95.5,80.25,84.0
10,Cornstarch Biopolymer Film,126.10641591757914,1.8611754,128.34,1.88,98.0,64.0,81.0,85.0
55,Bio-PE Standard Grade,117.86148862676542,2.019381,118.67,2.05,88.0,74.5,81.25,86.0
57,Natural Latex Coating,108.33042584334743,2.1590188,109.45,2.22,78.0,85.0,81.5,87.0
26,Bio-based PE Low Density,117.16034973787653,2.0719352,116.78,2.12,87.0,79.0,83.0,88.0
4,PLA Bioplastic,118.34998114777383,2.0428562,118.45,2.08,90.0,76.5,83.25,89.0
18,Natural Rubber Padding,116.55882742907423,2.0952194,115.67,2.15,86.0,82.0,84.0,90.0
34,Recycled Glass Powder,109.54129667668076,2.260502,110.56,2.78,80.0,89.5,84.75,91.0
65,Bio-Polybutylene Succinate,118.72020037854305,2.0719352,120.45,2.12,92.0,79.0,85.5,92.0
75,Bio-PCL Polymer,118.5830820135747,2.0952194,119.23,2.15,91.0,82.0,86.5,93.0
78,Mollusk Shell Powder,116.53314125175483,2.260502,112.34,2.72,85.0,89.5,87.25,94.0
46,Soy-based Plastic,118.91786037854304,2.0952194,121.34,2.18,93.0,82.0,87.5,95.0
85,Polylactic Acid Standard,120.36048446817892,2.1590188,121.67,2.22,94.0,85.0,89.5,96.0
20,Biodegradable Plastic PBAT,122.45852035405773,2.1590188,122.34,2.22,96.0,85.0,90.5,97.0
19,Recycled Leather Panel,124.5774372610559,2.2541277,128.45,2.58,97.0,87.5,92.25,98.0
5,Glass Bottle,127.8423842063492,2.560415,152.67,3.48,99.5,98.5,99.0,99.0
8,Aluminum Can,127.8423842063492,3.3514912,138.45,4.18,99.5,100.0,99.75,100.0
